OID_,ss,year,sample,occupied,region_x,wetland_x,data_set,site,station,latit,longit,mineable,lapr,mclelland,region_y,wetland_y,UID,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area
9584,Y:352@23:CT,2013,3,NA,east,NA,Y,0,CT,57.328916000000000,-111.321420000000003,1,1,east,east,McClelland Lake Fen - East,Y:352@23:CT-2013,250.000000000000000,11867,1570.796326789999966,196349.540849000011804
9585,Y:266@23:A,2014,3,NA,east,NA,Y,0,A,57.369863000000002,-111.282989999999998,1,1,east,east,McClelland Lake Fen - East,Y:266@23:A-2014,250.000000000000000,5745,1570.796326789999966,196349.540849000011804
9586,Y:218@5:NW,2013,1,0,unmineable,Southern Cold Lake,Y,0,NW,54.441457000000000,-110.114789999999999,0,1,NA,unmineable,Southern Cold Lake,Y:218@5:NW-2013,250.000000000000000,3241,1570.796326789999966,196349.540849000011804
9587,AM:423:NW,2017,4,0,unmineable,NA,AM,423,NW,55.818921000000003,-110.582899999999995,0,1,NA,unmineable,NA,AM:423:NW-2017,250.000000000000000,747,1570.796326789999966,196349.540849000011804
9588,Y:341@25:CT,2013,4,NA,east,NA,Y,0,CT,57.424323000000001,-111.225710000000007,1,1,east,east,McClelland Lake Fen - East,Y:341@25:CT-2013,250.000000000000000,11114,1570.796326789999966,196349.540849000011804
9589,Y:304@25:NW,2016,2,0,east,NA,Y,0,NW,57.423963999999998,-111.206879999999998,1,1,east,east,McClelland Lake Fen - East,Y:304@25:NW-2016,250.000000000000000,9231,1570.796326789999966,196349.540849000011804
9590,AM:401:NW,2016,3,NA,unmineable,NA,AM,401,NW,54.662224000000002,-110.712900000000005,0,1,NA,unmineable,NA,AM:401:NW-2016,250.000000000000000,82,1570.796326789999966,196349.540849000011804
9591,Y:463@50:B,2014,4,NA,unmineable,NA,Y,0,B,55.698391000000001,-110.896490000000000,0,1,NA,unmineable,NA,Y:463@50:B-2014,250.000000000000000,13375,1570.796326789999966,196349.540849000011804
9592,Y:302@25:F,2015,3,NA,east,NA,Y,0,F,57.416944000000001,-111.191950000000006,1,1,east,east,McClelland Lake Fen - East,Y:302@25:F-2015,250.000000000000000,8872,1570.796326789999966,196349.540849000011804
9593,Y:322@25:SW,2017,4,NA,east,NA,Y,0,SW,57.436394000000000,-111.184809999999999,1,1,east,east,McClelland Lake Fen - East,Y:322@25:SW-2017,250.000000000000000,10086,1570.796326789999966,196349.540849000011804
9594,Y:308@26:NE,2016,1,NA,unmineable,NA,Y,0,NE,55.614113000000003,-110.799440000000004,0,1,NA,unmineable,NA,Y:308@26:NE-2016,250.000000000000000,9418,1570.796326789999966,196349.540849000011804
9595,Y:467@53:C,2017,3,0,unmineable,NA,Y,0,C,56.028835999999998,-113.321979999999996,0,1,NA,unmineable,NA,Y:467@53:C-2017,250.000000000000000,13675,1570.796326789999966,196349.540849000011804
