ss,year,sample,occupied,region
AM:401:CT,2013,1,NA,unmineable
AM:401:NE,2013,1,NA,unmineable
AM:401:NW,2013,1,NA,unmineable
AM:401:SE,2013,1,NA,unmineable
AM:401:SW,2013,1,NA,unmineable
AM:403:CT,2013,1,NA,unmineable
AM:403:NE,2013,1,NA,unmineable
AM:403:NW,2013,1,NA,unmineable
AM:403:SE,2013,1,NA,unmineable
AM:403:SW,2013,1,NA,unmineable
AM:412:CT,2013,1,NA,west
AM:412:NW,2013,1,NA,west
AM:412:SW,2013,1,NA,west
AM:414:CT,2013,1,NA,west
AM:414:NE,2013,1,NA,west
AM:414:NW,2013,1,NA,west
AM:414:SE,2013,1,NA,west
AM:414:SW,2013,1,NA,west
AM:420:CT,2013,1,NA,unmineable
AM:420:NE,2013,1,NA,unmineable
AM:420:NW,2013,1,NA,unmineable
AM:420:SE,2013,1,NA,unmineable
AM:420:SW,2013,1,NA,unmineable
AM:422:CT,2013,1,NA,unmineable
AM:423:CT,2013,1,NA,unmineable
AM:423:NE,2013,1,NA,unmineable
AM:423:NW,2013,1,NA,unmineable
AM:423:SE,2013,1,NA,unmineable
AM:423:SW,2013,1,NA,unmineable
AM:424:CT,2013,1,NA,unmineable
AM:424:NE,2013,1,NA,unmineable
AM:424:NW,2013,1,NA,unmineable
AM:424:SE,2013,1,NA,unmineable
AM:424:SW,2013,1,NA,unmineable
AM:425:CT,2013,1,NA,unmineable
AM:425:NE,2013,1,NA,unmineable
AM:425:NW,2013,1,NA,unmineable
AM:425:SE,2013,1,NA,unmineable
AM:425:SW,2013,1,NA,unmineable
AM:426:CT,2013,1,NA,unmineable
AM:426:NE,2013,1,NA,unmineable
AM:426:NW,2013,1,NA,unmineable
AM:426:SE,2013,1,NA,unmineable
AM:426:SW,2013,1,NA,unmineable
AM:427:CT,2013,1,NA,unmineable
AM:427:NE,2013,1,NA,unmineable
AM:427:NW,2013,1,NA,unmineable
AM:427:SE,2013,1,NA,unmineable
AM:427:SW,2013,1,NA,unmineable
AM:429:CT,2013,1,NA,unmineable
AM:429:NE,2013,1,NA,unmineable
AM:429:NW,2013,1,NA,unmineable
AM:429:SE,2013,1,NA,unmineable
AM:429:SW,2013,1,NA,unmineable
AM:433:CT,2013,1,NA,unmineable
AM:433:NE,2013,1,NA,unmineable
AM:433:NW,2013,1,NA,unmineable
AM:433:SE,2013,1,NA,unmineable
AM:433:SW,2013,1,NA,unmineable
AM:441:CT,2013,1,NA,unmineable
AM:441:NE,2013,1,NA,unmineable
AM:441:NW,2013,1,NA,unmineable
AM:441:SE,2013,1,NA,unmineable
AM:441:SW,2013,1,NA,unmineable
AM:442:CT,2013,1,NA,unmineable
AM:442:NE,2013,1,NA,unmineable
AM:442:NW,2013,1,NA,unmineable
AM:442:SE,2013,1,NA,unmineable
AM:442:SW,2013,1,NA,unmineable
RS:26:N,2013,1,NA,east
RS:26:P,2013,1,NA,east
RS:26:Q,2013,1,NA,east
RS:26:R,2013,1,NA,east
RS:26:T,2013,1,NA,east
RS:26:U,2013,1,NA,east
RS:26:V,2013,1,NA,east
RS:26:W,2013,1,NA,east
RS:27:B,2013,1,NA,east
RS:27:E,2013,1,NA,east
RS:27:F,2013,1,NA,east
RS:27:G,2013,1,NA,east
RS:27:H,2013,1,NA,east
RS:27:I,2013,1,NA,east
RS:27:J,2013,1,NA,east
Y:200@1:CT,2013,1,1,unmineable
Y:200@1:NE,2013,1,1,unmineable
Y:200@1:NW,2013,1,1,unmineable
Y:200@1:SE,2013,1,1,unmineable
Y:200@1:SW,2013,1,1,unmineable
Y:201@1:CT,2013,1,0,unmineable
Y:201@1:NE,2013,1,0,unmineable
Y:201@1:NW,2013,1,0,unmineable
Y:201@1:SW,2013,1,0,unmineable
Y:207@1:A,2013,1,NA,unmineable
Y:207@1:B,2013,1,NA,unmineable
Y:207@1:C,2013,1,NA,unmineable
Y:207@1:D,2013,1,NA,unmineable
Y:207@1:E,2013,1,NA,unmineable
Y:214@4:CT,2013,1,0,unmineable
Y:214@4:NE,2013,1,0,unmineable
Y:214@4:NW,2013,1,0,unmineable
Y:214@4:SE,2013,1,0,unmineable
Y:214@4:SW,2013,1,0,unmineable
Y:216@5:CT,2013,1,1,unmineable
Y:216@5:NE,2013,1,1,unmineable
Y:216@5:NW,2013,1,0,unmineable
Y:216@5:SE,2013,1,0,unmineable
Y:216@5:SW,2013,1,1,unmineable
Y:217@5:CT,2013,1,1,unmineable
Y:217@5:NE,2013,1,0,unmineable
Y:217@5:NW,2013,1,1,unmineable
Y:217@5:SE,2013,1,0,unmineable
Y:217@5:SW,2013,1,1,unmineable
Y:218@5:CT,2013,1,1,unmineable
Y:218@5:NE,2013,1,1,unmineable
Y:218@5:NW,2013,1,0,unmineable
Y:218@5:SE,2013,1,0,unmineable
Y:218@5:SW,2013,1,1,unmineable
Y:223@6:CT,2013,1,0,unmineable
Y:223@6:NE,2013,1,0,unmineable
Y:223@6:NW,2013,1,0,unmineable
Y:223@6:SE,2013,1,NA,unmineable
Y:223@6:SW,2013,1,0,unmineable
Y:224@7:CT,2013,1,0,west
Y:224@7:NE,2013,1,0,west
Y:224@7:NW,2013,1,0,west
Y:224@7:SE,2013,1,NA,west
Y:224@7:SW,2013,1,0,west
Y:229@8:CT,2013,1,0,mineable
Y:229@8:NE,2013,1,0,mineable
Y:229@8:NW,2013,1,0,mineable
Y:229@8:SE,2013,1,0,mineable
Y:229@8:SW,2013,1,0,mineable
Y:234@24:A,2013,1,NA,west
Y:234@24:B,2013,1,NA,west
Y:234@24:C,2013,1,NA,west
Y:234@24:D,2013,1,NA,west
Y:234@24:E,2013,1,NA,west
Y:235@24:A,2013,1,NA,west
Y:236@10:CT,2013,1,0,mineable
Y:236@10:NE,2013,1,0,mineable
Y:236@10:NW,2013,1,0,mineable
Y:236@10:SE,2013,1,0,mineable
Y:236@10:SW,2013,1,0,mineable
Y:237@10:CT,2013,1,0,mineable
Y:237@10:NE,2013,1,0,mineable
Y:237@10:NW,2013,1,0,mineable
Y:237@10:SE,2013,1,0,mineable
Y:237@10:SW,2013,1,0,mineable
Y:238@24:A,2013,1,NA,west
Y:238@24:B,2013,1,NA,west
Y:239@24:A,2013,1,NA,west
Y:239@24:B,2013,1,NA,west
Y:240@11:NE,2013,1,0,unmineable
Y:240@11:NW,2013,1,0,unmineable
Y:240@11:SE,2013,1,0,unmineable
Y:240@11:SW,2013,1,0,unmineable
Y:241@24:A,2013,1,NA,west
Y:242@24:A,2013,1,NA,west
Y:242@24:B,2013,1,NA,west
Y:242@24:C,2013,1,NA,west
Y:243@24:A,2013,1,NA,west
Y:243@24:B,2013,1,NA,west
Y:243@24:C,2013,1,NA,west
Y:243@24:D,2013,1,NA,west
Y:245@24:G,2013,1,NA,west
Y:245@24:H,2013,1,NA,west
Y:246@24:A,2013,1,NA,west
Y:248@13:CT,2013,1,0,unmineable
Y:248@13:NE,2013,1,0,unmineable
Y:248@13:NW,2013,1,1,unmineable
Y:248@13:SE,2013,1,0,unmineable
Y:248@13:SW,2013,1,0,unmineable
Y:253@7:NE,2013,1,NA,east
Y:253@7:NW,2013,1,NA,east
