"WTStation","Station","VegDate","Plot","Distance","Depth","year","SDD"
"AM:401:NE","AM-401-NE",2017-06-23,"N",40,0,2017,"AM-401-NE-N-40"
"AM:401:NE","AM-401-NE",2017-06-23,"N",50,11,2017,"AM-401-NE-N-50"
"AM:401:NE","AM-401-NE",2017-06-23,"E",10,15,2017,"AM-401-NE-E-10"
"AM:401:NE","AM-401-NE",2017-06-23,"E",20,10,2017,"AM-401-NE-E-20"
"AM:401:NE","AM-401-NE",2017-06-23,"E",30,5,2017,"AM-401-NE-E-30"
"AM:401:NE","AM-401-NE",2017-06-23,"E",40,5,2017,"AM-401-NE-E-40"
"AM:401:NE","AM-401-NE",2017-06-23,"E",50,9,2017,"AM-401-NE-E-50"
"AM:401:NE","AM-401-NE",2017-06-23,"S",10,4,2017,"AM-401-NE-S-10"
"AM:401:NE","AM-401-NE",2017-06-23,"S",20,5,2017,"AM-401-NE-S-20"
"AM:401:NE","AM-401-NE",2017-06-23,"S",30,11,2017,"AM-401-NE-S-30"
"AM:401:NE","AM-401-NE",2017-06-23,"S",40,13,2017,"AM-401-NE-S-40"
"AM:401:NE","AM-401-NE",2017-06-23,"S",50,16,2017,"AM-401-NE-S-50"
"AM:401:NE","AM-401-NE",2017-06-23,"W",10,0,2017,"AM-401-NE-W-10"
"AM:401:NE","AM-401-NE",2017-06-23,"W",20,11,2017,"AM-401-NE-W-20"
"AM:401:NE","AM-401-NE",2017-06-23,"W",30,8,2017,"AM-401-NE-W-30"
"AM:401:NE","AM-401-NE",2017-06-23,"W",40,13,2017,"AM-401-NE-W-40"
"AM:401:NE","AM-401-NE",2017-06-23,"W",50,11,2017,"AM-401-NE-W-50"
"AM:401:NW","AM-401-NW",2014-05-28,"C",0,0,2014,"AM-401-NW-C-0"
"AM:401:NW","AM-401-NW",2014-05-28,"N",10,0,2014,"AM-401-NW-N-10"
"AM:401:NW","AM-401-NW",2014-05-28,"N",20,0,2014,"AM-401-NW-N-20"
"AM:401:NW","AM-401-NW",2014-05-28,"N",30,0,2014,"AM-401-NW-N-30"
"AM:401:NW","AM-401-NW",2014-05-28,"N",40,0,2014,"AM-401-NW-N-40"
"AM:401:NW","AM-401-NW",2014-05-28,"N",50,0,2014,"AM-401-NW-N-50"
"AM:401:NW","AM-401-NW",2014-05-28,"E",10,0,2014,"AM-401-NW-E-10"
"AM:401:NW","AM-401-NW",2014-05-28,"E",20,0,2014,"AM-401-NW-E-20"
"AM:401:NW","AM-401-NW",2014-05-28,"E",30,0,2014,"AM-401-NW-E-30"
"AM:401:NW","AM-401-NW",2014-05-28,"E",40,0,2014,"AM-401-NW-E-40"
"AM:401:NW","AM-401-NW",2014-05-28,"E",50,0,2014,"AM-401-NW-E-50"
"AM:401:NW","AM-401-NW",2014-05-28,"S",10,0,2014,"AM-401-NW-S-10"
"AM:401:NW","AM-401-NW",2014-05-28,"S",20,0,2014,"AM-401-NW-S-20"
"AM:401:NW","AM-401-NW",2014-05-28,"S",30,0,2014,"AM-401-NW-S-30"
"AM:401:NW","AM-401-NW",2014-05-28,"S",40,0,2014,"AM-401-NW-S-40"
"AM:401:NW","AM-401-NW",2014-05-28,"S",50,0,2014,"AM-401-NW-S-50"
"AM:401:NW","AM-401-NW",2014-05-28,"W",10,0,2014,"AM-401-NW-W-10"
"AM:401:NW","AM-401-NW",2014-05-28,"W",20,0,2014,"AM-401-NW-W-20"
"AM:401:NW","AM-401-NW",2014-05-28,"W",30,0,2014,"AM-401-NW-W-30"
"AM:401:NW","AM-401-NW",2014-05-28,"W",40,0,2014,"AM-401-NW-W-40"
"AM:401:NW","AM-401-NW",2014-05-28,"W",50,0,2014,"AM-401-NW-W-50"
"AM:401:NW","AM-401-NW",2017-06-23,"C",0,0,2017,"AM-401-NW-C-0"
"AM:401:NW","AM-401-NW",2017-06-23,"N",10,0,2017,"AM-401-NW-N-10"
"AM:401:NW","AM-401-NW",2017-06-23,"N",20,0,2017,"AM-401-NW-N-20"
"AM:401:NW","AM-401-NW",2017-06-23,"N",30,0,2017,"AM-401-NW-N-30"
"AM:401:NW","AM-401-NW",2017-06-23,"N",40,0,2017,"AM-401-NW-N-40"
"AM:401:NW","AM-401-NW",2017-06-23,"N",50,0,2017,"AM-401-NW-N-50"
"AM:401:NW","AM-401-NW",2017-06-23,"E",10,0,2017,"AM-401-NW-E-10"
"AM:401:NW","AM-401-NW",2017-06-23,"E",20,0,2017,"AM-401-NW-E-20"
"AM:401:NW","AM-401-NW",2017-06-23,"E",30,0,2017,"AM-401-NW-E-30"
"AM:401:NW","AM-401-NW",2017-06-23,"E",40,0,2017,"AM-401-NW-E-40"
"AM:401:NW","AM-401-NW",2017-06-23,"E",50,0,2017,"AM-401-NW-E-50"
"AM:401:NW","AM-401-NW",2017-06-23,"S",10,0,2017,"AM-401-NW-S-10"
"AM:401:NW","AM-401-NW",2017-06-23,"S",20,0,2017,"AM-401-NW-S-20"
"AM:401:NW","AM-401-NW",2017-06-23,"S",30,0,2017,"AM-401-NW-S-30"
"AM:401:NW","AM-401-NW",2017-06-23,"S",40,0,2017,"AM-401-NW-S-40"
"AM:401:NW","AM-401-NW",2017-06-23,"S",50,0,2017,"AM-401-NW-S-50"
"AM:401:NW","AM-401-NW",2017-06-23,"W",10,0,2017,"AM-401-NW-W-10"
"AM:401:NW","AM-401-NW",2017-06-23,"W",20,0,2017,"AM-401-NW-W-20"
"AM:401:NW","AM-401-NW",2017-06-23,"W",30,0,2017,"AM-401-NW-W-30"
"AM:401:NW","AM-401-NW",2017-06-23,"W",40,0,2017,"AM-401-NW-W-40"
"AM:401:NW","AM-401-NW",2017-06-23,"W",50,0,2017,"AM-401-NW-W-50"
"AM:401:SE","AM-401-SE",2014-05-28,"C",0,11,2014,"AM-401-SE-C-0"
"AM:401:SE","AM-401-SE",2014-05-28,"N",10,20,2014,"AM-401-SE-N-10"
"AM:401:SE","AM-401-SE",2014-05-28,"N",20,18,2014,"AM-401-SE-N-20"
"AM:401:SE","AM-401-SE",2014-05-28,"N",30,12,2014,"AM-401-SE-N-30"
"AM:401:SE","AM-401-SE",2014-05-28,"N",40,19,2014,"AM-401-SE-N-40"
"AM:401:SE","AM-401-SE",2014-05-28,"N",50,15,2014,"AM-401-SE-N-50"
"AM:401:SE","AM-401-SE",2014-05-28,"S",10,10,2014,"AM-401-SE-S-10"
"AM:401:SE","AM-401-SE",2014-05-28,"S",20,11,2014,"AM-401-SE-S-20"
"AM:401:SE","AM-401-SE",2014-05-28,"S",30,5,2014,"AM-401-SE-S-30"
"AM:401:SE","AM-401-SE",2014-05-28,"S",40,5,2014,"AM-401-SE-S-40"
"AM:401:SE","AM-401-SE",2014-05-28,"S",50,13,2014,"AM-401-SE-S-50"
"AM:401:SE","AM-401-SE",2014-05-28,"W",10,23,2014,"AM-401-SE-W-10"
"AM:401:SE","AM-401-SE",2014-05-28,"W",20,0,2014,"AM-401-SE-W-20"
"AM:401:SE","AM-401-SE",2014-05-28,"W",30,0,2014,"AM-401-SE-W-30"
"AM:401:SE","AM-401-SE",2014-05-28,"W",40,8,2014,"AM-401-SE-W-40"
