ss,year,stdsdoy
Y:258@15:SE,2013,0.13402600000000001
Y:258@15:SW,2013,-0.40238449999999998
Y:260@7:NE,2013,NA
Y:260@7:NW,2013,NA
Y:260@7:SE,2013,NA
Y:260@7:SW,2013,NA
Y:261@7:NE,2013,NA
Y:261@7:NW,2013,NA
Y:261@7:SE,2013,NA
Y:261@7:SW,2013,NA
Y:262@7:NE,2013,NA
Y:262@7:NW,2013,NA
Y:262@7:SE,2013,NA
Y:262@7:SW,2013,NA
Y:263@7:NE,2013,NA
Y:263@7:NW,2013,NA
Y:265@23:A,2013,NA
Y:265@23:B,2013,NA
Y:265@23:C,2013,NA
Y:265@23:D,2013,NA
Y:266@23:A,2013,NA
Y:266@23:B,2013,NA
Y:266@23:C,2013,NA
Y:266@23:D,2013,NA
Y:267@23:A,2013,NA
Y:267@23:B,2013,NA
Y:267@23:C,2013,NA
Y:267@23:D,2013,NA
Y:268@23:A,2013,NA
Y:268@23:B,2013,NA
Y:268@23:C,2013,NA
Y:268@23:D,2013,NA
Y:273@19:CT,2013,2.4808219999999999
Y:273@19:NE,2013,2.4808219999999999
Y:273@19:NW,2013,2.4808219999999999
Y:273@19:SE,2013,2.4808219999999999
Y:273@19:SW,2013,2.4808219999999999
Y:274@19:CT,2013,0.26812859999999999
Y:274@19:NE,2013,0.33517989999999998
Y:274@19:NW,2013,0.26812859999999999
Y:274@19:SE,2013,0.26812859999999999
Y:274@19:SW,2013,0.066974699999999998
Y:276@20:CT,2013,-1.2070000000000001
Y:276@20:NE,2013,-0.26828180000000001
Y:276@20:NW,2013,0.87159039999999999
Y:276@20:SE,2013,0.87159039999999999
Y:276@20:SW,2013,-0.26828180000000001
Y:277@20:CT,2013,-0.80469230000000003
Y:277@20:NE,2013,-0.53648709999999999
Y:277@20:NW,2013,-0.80469230000000003
Y:277@20:SE,2013,-0.80469230000000003
Y:277@20:SW,2013,-0.60353840000000003
Y:280@21:CT,2013,0.26812859999999999
Y:280@21:NE,2013,NA
Y:280@21:NW,2013,0.60338519999999995
Y:280@21:SE,2013,0.13402600000000001
Y:280@21:SW,2013,0.26812859999999999
Y:281@21:CT,2013,-0.60353840000000003
Y:281@21:NE,2013,-0.60353840000000003
Y:281@21:NW,2013,-0.53648709999999999
Y:281@21:SE,2013,-0.60353840000000003
Y:281@21:SW,2013,-0.60353840000000003
Y:282@23:A,2013,NA
Y:282@23:B,2013,NA
Y:282@23:D,2013,NA
Y:287@22:CT,2013,1.6762060000000001
Y:287@22:NE,2013,1.6762060000000001
Y:287@22:NW,2013,1.6762060000000001
Y:287@22:SE,2013,1.6762060000000001
Y:287@22:SW,2013,1.6762060000000001
Y:288@23:CT,2013,NA
Y:288@23:NE,2013,NA
Y:288@23:NW,2013,NA
Y:288@23:SE,2013,NA
Y:288@23:SW,2013,NA
Y:290@23:CT,2013,NA
Y:290@23:NE,2013,NA
Y:290@23:NW,2013,NA
Y:290@23:SE,2013,NA
Y:290@23:SW,2013,NA
Y:291@23:CT,2013,NA
Y:291@23:NE,2013,NA
Y:291@23:NW,2013,NA
Y:291@23:SE,2013,NA
Y:291@23:SW,2013,NA
Y:293@23:CT,2013,NA
Y:293@23:NE,2013,NA
Y:293@23:NW,2013,NA
Y:293@23:SE,2013,NA
Y:293@23:SW,2013,NA
Y:294@24:CT,2013,-1.6763589999999999
Y:294@24:NE,2013,-1.4752050000000001
Y:294@24:NW,2013,-1.3411029999999999
Y:294@24:SE,2013,-1.4752050000000001
Y:294@24:SW,2013,-1.609308
Y:295@24:CT,2013,-1.1399490000000001
Y:295@24:NE,2013,-1.1399490000000001
Y:295@24:NW,2013,-1.1399490000000001
Y:295@24:SE,2013,-0.26828180000000001
Y:295@24:SW,2013,-1.1399490000000001
Y:296@24:CT,2013,-1.6763589999999999
Y:296@24:NE,2013,-1.6763589999999999
Y:296@24:NW,2013,-1.542257
Y:296@24:SE,2013,-1.542257
Y:296@24:SW,2013,-1.542257
Y:297@24:CT,2013,-1.1399490000000001
Y:297@24:NE,2013,-1.1399490000000001
Y:297@24:NW,2013,-1.1399490000000001
Y:297@24:SE,2013,-1.1399490000000001
Y:297@24:SW,2013,-1.1399490000000001
Y:298@24:CT,2013,0.53633390000000003
Y:298@24:NE,2013,0.53633390000000003
Y:298@24:NW,2013,0.53633390000000003
Y:298@24:SE,2013,0.73748780000000003
Y:298@24:SW,2013,0.53633390000000003
Y:299@24:CT,2013,0.60338519999999995
Y:299@24:NE,2013,0.60338519999999995
Y:299@24:NW,2013,0.60338519999999995
Y:299@24:SE,2013,0.53633390000000003
Y:299@24:SW,2013,0.60338519999999995
Y:300@25:CT,2013,NA
Y:300@25:NE,2013,NA
Y:300@25:NW,2013,NA
Y:300@25:SE,2013,NA
Y:300@25:SW,2013,NA
Y:301@25:CT,2013,-1.542257
Y:301@25:NE,2013,-0.60353840000000003
Y:301@25:NW,2013,-1.4752050000000001
Y:301@25:SE,2013,-1.542257
Y:301@25:SW,2013,-1.3411029999999999
Y:302@25:CT,2013,0.73748780000000003
Y:302@25:F,2013,NA
Y:302@25:NE,2013,0.73748780000000003
Y:302@25:NW,2013,0.73748780000000003
Y:302@25:SE,2013,0.73748780000000003
Y:302@25:SW,2013,0.73748780000000003
Y:303@25:CT,2013,-0.40238449999999998
Y:303@25:NE,2013,-0.40238449999999998
Y:303@25:NW,2013,-0.40238449999999998
Y:303@25:SE,2013,-0.26828180000000001
Y:303@25:SW,2013,NA
Y:304@25:A,2013,NA
Y:304@25:CT,2013,NA
Y:304@25:NE,2013,-0.3353332
Y:304@25:NW,2013,-0.3353332
Y:304@25:SE,2013,-0.3353332
Y:304@25:SW,2013,-0.3353332
Y:305@25:CT,2013,NA
Y:305@25:NE,2013,NA
Y:305@25:NW,2013,1.0727439999999999
Y:308@26:CT,2013,-0.26828180000000001
Y:308@26:NE,2013,0.20107729999999999
Y:308@26:NW,2013,0.67043649999999999
Y:308@26:SE,2013,-0.26828180000000001
Y:308@26:SW,2013,-0.20123050000000001
Y:313@27:CT,2013,NA
Y:313@27:NE,2013,NA
Y:313@27:NW,2013,NA
Y:313@27:SE,2013,NA
Y:313@27:SW,2013,NA
Y:317@27:CT,2013,NA
Y:317@27:NE,2013,NA
Y:317@27:NW,2013,NA
Y:317@27:SE,2013,NA
Y:317@27:SW,2013,NA
Y:318@27:CT,2013,NA
Y:318@27:NE,2013,NA
