"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence"
"AM:401:SE-2013","AM:401:SE",2013,4,NA,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,212.573937814996,439.738372181048,344.977159857733,2074.42578885822,1159.43588991051,614.372927029165,0.544697718280407,0.712742859983396,0.289299117439362,2216.04813684866,-380.214088992603,NA
"AM:401:SE-2014","AM:401:SE",2014,3,0,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,227.558067799802,443.246086100758,375.186780241023,1797.63586704588,1090.37830210126,615.146603552862,0.497868605217315,0.652563982902971,0.257651200645408,2045.57562691392,-386.590271176468,"absent"
"AM:401:SE-2015","AM:401:SE",2015,2,0,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent"
"AM:401:SE-2016","AM:401:SE",2016,4,NA,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,305.625848833182,560.391103589581,507.223951294442,2198.04760671527,1525.49062547752,865.338398405582,0.45897720897906,0.636767300711898,0.20540294415271,2680.14913182995,-626.566193188458,NA
"AM:401:SE-2017","AM:401:SE",2017,1,0,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,142.948013002093,310.712046986063,240.259276365501,1304.54760886675,680.08780985966,343.269775542696,0.591276528243496,0.674770488991691,0.330051950646867,1383.73896052724,-170.204176597376,"absent"
"AM:401:SE-2018","AM:401:SE",2018,2,NA,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,188.866156656061,402.643082186892,341.226261475613,1917.03041342329,1055.62656846997,565.037708881614,0.54737886996128,0.696773423138787,0.296729744050592,2046.26499546588,-334.594987190557,NA
"AM:401:SE-2019","AM:401:SE",2019,3,NA,"unmineable",NA,"AM",401,"SE",54.657827,-110.70662,0,1,NA,202.593143234831,400.530124139209,345.655871462589,1627.65366430575,961.022062956847,540.582506546969,0.521095870441375,0.619354566902616,0.282306418996453,1865.89137533165,-310.453194599835,NA
"AM:401:SW-2013","AM:401:SW",2013,1,NA,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,224.611168792172,504.725681800712,324.355080970696,2669.18617874248,1363.38159112951,642.028127460882,0.613425431417117,0.784726823107858,0.327630558989999,2671.82408450044,-383.114680051402,NA
"AM:401:SW-2014","AM:401:SW",2014,2,0,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,237.337540753985,511.702590330825,353.37732670613,2426.63182643957,1348.60396565918,667.091522450549,0.577238045649811,0.746073958973341,0.289979551958664,2561.43151617982,-441.184314486071,"absent"
"AM:401:SW-2015","AM:401:SW",2015,2,0,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,626.363636363636,929.818181818182,744.909090909091,2766,2133.63636363636,1140.81818181818,0.415622586553747,0.575443977659399,0.128860983658921,3647.4702,-866.544472727273,"absent"
