project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,EP-26-RI1,2021-07-13,0:40:00,57.04389,-111.9182,0,-111.9182,57.0439,2021-07-13 0:40,2021,194,0,0.6666667,-111.918,57.044,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-RI1,2021-07-15,1:00:00,57.04389,-111.9182,0,-111.9182,57.0439,2021-07-15 1:00,2021,196,1,1,-111.918,57.044,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-16-43,2021-06-12,0:00:00,54.69222,-110.7666,0,-110.7666,54.6922,2021-06-12 0:00,2021,163,0,0,-110.767,54.692,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,F-P5-16-38,2021-06-19,0:20:00,54.68868,-110.5229,0,-110.5229,54.6887,2021-06-19 0:20,2021,170,0,0.3333333,-110.523,54.689,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-RC2,2021-07-14,1:00:00,57.01944,-111.9218,0,-111.9218,57.0194,2021-07-14 1:00,2021,195,1,1,-111.922,57.019,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,F-P5-16-4,2021-06-16,0:00:00,54.61481,-110.7815,0,-110.7815,54.6148,2021-06-16 0:00,2021,167,0,0,-110.782,54.615,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-40,2021-06-02,0:20:00,55.13977,-111.6796,1,-111.6796,55.1398,2021-06-02 0:20,2021,153,0,0.3333333,-111.68,55.14,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,R-P5-20-32,2021-06-02,0:40:00,55.13469,-111.6841,0,-111.6841,55.1347,2021-06-02 0:40,2021,153,0,0.6666667,-111.684,55.135,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-40,2021-06-02,1:00:00,55.13977,-111.6796,1,-111.6796,55.1398,2021-06-02 1:00,2021,153,1,1,-111.68,55.14,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-34,2021-06-17,0:00:00,54.68107,-110.7041,0,-110.7041,54.6811,2021-06-17 0:00,2021,168,0,0,-110.704,54.681,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-65,2021-06-15,2:20:00,54.6289,-110.7368,1,-110.7368,54.6289,2021-06-15 2:20,2021,166,2,2.333333,-110.737,54.629,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-E0-16-28,2021-06-17,1:20:00,54.67824,-110.7003,0,-110.7003,54.6782,2021-06-17 1:20,2021,168,1,1.333333,-110.7,54.678,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,R-P5-20-32,2021-06-01,2:20:00,55.13469,-111.6841,0,-111.6841,55.1347,2021-06-01 2:20,2021,152,2,2.333333,-111.684,55.135,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-315-NE,2021-07-09,0:00:00,56.24207,-110.8988,0,-110.8988,56.2421,2021-07-09 0:00,2021,190,0,0,-110.899,56.242,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,R-P5-20-36,2021-06-03,0:40:00,55.13942,-111.6897,1,-111.6897,55.1394,2021-06-03 0:40,2021,154,0,0.6666667,-111.69,55.139,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-SW,2021-07-08,0:20:00,56.22869,-110.8379,0,-110.8379,56.2287,2021-07-08 0:20,2021,189,0,0.3333333,-110.838,56.229,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-45,2021-06-05,0:40:00,55.14429,-111.6811,1,-111.6811,55.1443,2021-06-05 0:40,2021,156,0,0.6666667,-111.681,55.144,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-20-54,2021-06-05,1:20:00,55.1588,-111.6742,1,-111.6742,55.1588,2021-06-05 1:20,2021,156,1,1.333333,-111.674,55.159,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-CT,2021-07-09,0:20:00,56.23141,-110.832,0,-110.832,56.2314,2021-07-09 0:20,2021,190,0,0.3333333,-110.832,56.231,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-RI1,2021-07-13,0:20:00,57.04389,-111.9182,0,-111.9182,57.0439,2021-07-13 0:20,2021,194,0,0.3333333,-111.918,57.044,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-16-43,2021-06-14,1:20:00,54.69222,-110.7666,1,-110.7666,54.6922,2021-06-14 1:20,2021,165,1,1.333333,-110.767,54.692,1,UNMINEABLE
